stage, millis, accel_x, accel_y, accel_z, quat_w, quat_X, quat_y, quat_z, of_x, of_y
u, 6682,,,,,,,,0.00000000,0.00000000
p, 6682,-0.19874950,0.15640530,-1.94913733,0.14194027,-0.11773083,0.06971855,-0.98037052,
p, 6692,-0.20430180,0.16087477,-1.96029401,0.14106408,-0.11872104,0.07045938,-0.98032480,
p, 6702,-0.20204256,0.16085121,-1.95824301,0.14024067,-0.11965972,0.07115559,-0.98027873,
p, 6712,-0.19179583,0.15786396,-1.96006322,0.13942048,-0.12060320,0.07184072,-0.98023027,
p, 6722,-0.20082498,0.15891093,-1.95789874,0.13820954,-0.12198169,0.07283127,-0.98015696,
p, 6732,-0.19691670,0.16353902,-1.95355868,0.13721494,-0.12312663,0.07366483,-0.98009139,
p, 6743,-0.20193583,0.16850047,-1.96277177,0.13628030,-0.12416360,0.07442768,-0.98003364,
p, 6754,-0.20212606,0.17752722,-1.95703292,0.13542405,-0.12513621,0.07515178,-0.97997367,
p, 6764,-0.20726420,0.16838397,-1.96333396,0.13467376,-0.12610880,0.07587136,-0.97989720,
p, 6775,-0.21114552,0.17072457,-1.95521593,0.13363615,-0.12729314,0.07676585,-0.97981596,
u, 6783,,,,,,,,0.00000000,0.00000000
p, 6785,-0.21251398,0.16872868,-1.95641351,0.13274741,-0.12836544,0.07757580,-0.97973317,
p, 6795,-0.21192411,0.17915957,-1.95152676,0.13191828,-0.12939095,0.07832190,-0.97965091,
p, 6805,-0.21764113,0.18265077,-1.95140266,0.13109508,-0.13037691,0.07905468,-0.97957194,
p, 6816,-0.22252905,0.17435609,-1.95427036,0.12986067,-0.13181883,0.08014748,-0.97945344,
p, 6827,-0.22442371,0.17801362,-1.95214891,0.12879540,-0.13302466,0.08106356,-0.97935581,
p, 6838,-0.21945825,0.18059006,-1.94654870,0.12786058,-0.13411924,0.08189735,-0.97926003,
p, 6848,-0.22547467,0.18118401,-1.94676220,0.12706034,-0.13517335,0.08269300,-0.97915280,
p, 6858,-0.22694936,0.18724117,-1.93772888,0.12586588,-0.13642770,0.08368868,-0.97904778,
p, 6868,-0.23106654,0.18203001,-1.94524384,0.12493040,-0.13756497,0.08458003,-0.97893214,
p, 6878,-0.23386517,0.19092956,-1.94931412,0.12416285,-0.13866490,0.08539655,-0.97880405,
u, 6884,,,,,,,,0.00000000,0.00000000
p, 6888,-0.23402853,0.18664367,-1.93895912,0.12350506,-0.13973948,0.08618496,-0.97866565,
p, 6898,-0.23847422,0.19065765,-1.93536854,0.12254601,-0.14131948,0.08732966,-0.97845668,
p, 6909,-0.24508397,0.18978073,-1.93313837,0.12176542,-0.14263359,0.08828500,-0.97827786,
p, 6920,-0.24546680,0.19428611,-1.93840909,0.12107708,-0.14382640,0.08915444,-0.97811019,
p, 6930,-0.24029474,0.20148265,-1.94229567,0.12043288,-0.14496127,0.08997947,-0.97794688,
p, 6940,-0.23947874,0.20291418,-1.94157624,0.11984519,-0.14609164,0.09076124,-0.97777879,
p, 6950,-0.24738677,0.20629260,-1.94442856,0.11914380,-0.14746618,0.09174092,-0.97756636,
p, 6960,-0.25306502,0.20828699,-1.93489122,0.11850903,-0.14869484,0.09262087,-0.97737455,
p, 6970,-0.25349325,0.20449293,-1.93891168,0.11780690,-0.14984930,0.09348778,-0.97720075,
p, 6980,-0.26615855,0.20511359,-1.93678677,0.11710860,-0.15095514,0.09433095,-0.97703362,
u, 6985,,,,,,,,0.00000000,0.00000000
p, 6990,-0.26062751,0.20511112,-1.92763710,0.11615250,-0.15262452,0.09557530,-0.97676599,
p, 7001,-0.26327884,0.21010713,-1.92743397,0.11536257,-0.15401724,0.09662259,-0.97653806,
p, 7012,-0.26637453,0.20904985,-1.92437220,0.11468494,-0.15528166,0.09756712,-0.97632414,
p, 7022,-0.26775452,0.20624001,-1.92938733,0.11401847,-0.15648794,0.09849261,-0.97611696,
p, 7033,-0.26907015,0.21315876,-1.92571509,0.11322783,-0.15796207,0.09957996,-0.97586071,
p, 7043,-0.26617265,0.21505411,-1.92600751,0.11261631,-0.15930068,0.10055213,-0.97561437,
