t,x_x,x_vx
0.0,-0.0,-0.0
0.005,0.011935208986487285,3.1183141762435644
0.01,0.02387041797297457,6.236628352487129
0.015,0.03541044843953155,8.311483419843631
0.02,0.046332379169783694,8.754261419444248
0.025,0.05725430990003584,9.197039419044865
0.03,0.06817624063028799,9.639817418645482
0.035,0.07885382922927975,10.084204809285913
0.04,0.08913745763126164,10.531187069701115
0.045,0.09942108603324352,10.978169330116318
0.05,0.10970471443522542,11.425151590531522
0.055,0.12062534085949907,11.85102616485705
0.06,0.13248960951531197,12.245632032990008
0.065,0.14435387817112486,12.640237901122966
0.07,0.15621814682693774,13.034843769255923
0.075,0.1657209594941209,13.356914397612833
0.08,0.16472326742749097,13.356448153674004
0.085,0.163725575360861,13.355981909735174
0.09,0.16272788329423105,13.355515665796345
0.095,0.15537682193487956,12.438948403947737
0.1,0.14780486528554176,11.490529947766735
0.105,0.13071880283389758,10.414149192698721
0.11,0.07775512002822713,8.855223585335308
0.115,0.02479143722255664,7.296297977971895
0.12,-0.017312701311904155,6.882904375851805
0.125,-0.050842697161152015,7.3739644614867395
0.13,-0.08437269301039987,7.865024547121674
0.135,-0.11790268885964773,8.356084632756609
0.14,-0.15458645052932196,8.160467329262312
0.145,-0.1983493010847675,6.42350214191082
0.15,-0.24211215164021327,4.686536954559319
0.155,-0.28587500219565903,2.949571767207818
0.16,-0.3353350712966758,1.3940296998722124
0.165,-0.38954769908171266,-0.010171144089774042
0.17,-0.4437603268667496,-1.41437198805176
0.17500000000000002,-0.4979729546517865,-2.818572832013746
0.18,1.1385434780221617,-3.634040573414446
0.185,6.2547561115778425,-3.2378343759052393
0.19,11.370968745133524,-2.8416281783960327
0.195,16.487181378689204,-2.445421980886826
0.2,17.070176434399375,-4.203316868728649
0.20500000000000002,16.99964126720651,-6.271757221969066
0.21,16.92810730802338,-7.657660384210535
0.215,16.852617815481928,-6.340499591592066
0.22,16.777128322940474,-5.023338798973598
0.225,16.72925562338929,-3.0074557032467055
0.23,16.703329650213146,-0.4363065705161384
0.23500000000000001,16.677403677037,2.1348425622144296
0.24,16.651477703860856,4.705991694944982
0.245,16.628037127178025,6.896769097846942
0.25,16.610026429458305,8.256543294814838
0.255,16.592015731738588,9.616317491782736
0.26,16.57400503401887,10.976091688750632
0.265,16.55857989647552,11.890040184077474
0.27,16.5453501902062,12.425432536292982
0.275,16.532120483936882,12.960824888508492
0.28,16.518890777667565,13.496217240724
0.28500000000000003,18.174431011065845,13.982229084587997
0.29,23.29272018449182,14.36577485515593
0.295,28.41100935791785,14.74932062572387
0.3,33.52929853134388,15.132866396291808
0.305,34.183370674514805,15.539791626420861
0.31,34.18918042712377,15.950111858236081
0.315,34.20022742501841,16.59664508446207
0.32,34.234908430580376,18.309131768375984
0.325,34.26958943614234,20.021618452289896
0.33,34.303052915630154,21.10815631684472
0.335,34.33553224655531,21.688728318372604
0.34,34.368011577480466,22.269300319900484
0.34500000000000003,34.40049090840562,22.849872321428368
0.35000000000000003,34.440839140238616,23.820739980251265
0.355,34.4949244593786,25.47296397874615
0.36,34.549009778518595,27.125187977241055
0.365,34.60309509765859,28.777411975735962
0.37,34.97428464123396,30.272428943738625
0.375,37.89549676362899,30.503251219859763
0.38,40.816708886024024,30.7340734959809
0.385,43.737921008419065,30.964895772102036
0.39,46.6591331308141,31.195718048223174
0.395,47.05135984484452,31.23063703043798
0.4,47.178730376020845,31.24503940608757
0.405,47.316524464963386,30.985075609758606
0.41000000000000003,47.49324896283626,29.700395731709765
0.41500000000000004,47.66997346070914,28.415715853660927
0.42,47.81734151327886,27.270470229898823
0.425,47.903682866744994,26.41508300667606
0.43,47.990024220211126,25.559695783453297
0.435,48.07636557367726,24.704308560230537
0.44,48.15706111177688,24.161207609023087
0.445,48.233122393563264,23.874440691729774
0.45,48.30918367534964,23.58767377443646
0.455,48.38524495713601,23.300906857143147
0.46,48.41877277014751,19.89883638340245
0.465,48.41877277014751,14.041068828676652
0.47000000000000003,48.41877277014751,8.183301273950851
0.47500000000000003,48.41877277014751,2.325533719225053
0.48,48.8994004171356,0.035952204615911885
0.485,49.696461191576645,0.09557443449302871
0.49,50.49352196601769,0.15519666437014554
0.495,51.196477853603426,0.16746223792920656
0.5,51.205390496920735,-0.16953744440884128
0.505,51.21430314023804,-0.5065371267468891
0.51,51.21785928492165,-0.49556017819406684
0.515,51.21785928492165,-0.2535638024767653
0.52,51.21785928492165,-0.011567426759463761
0.525,51.21785928492165,0.0
0.53,51.21785928492165,0.0
0.535,51.21785928492165,0.0
